启动序号,记录时间,启动结果,ui_main 进程号,rosmaster 进程号
1,2019-12-10 17:57:53.370918,失败,[],[64573]
2,2019-12-10 17:58:34.754824,失败,[],[64573]
3,2019-12-10 17:59:16.641806,失败,[],[64573]
4,2019-12-10 18:00:06.045608,失败,[],[64573]
5,2019-12-10 18:00:48.022203,失败,[],[64573]
6,2019-12-10 18:09:32.894879,失败,[],[64573]
7,2019-12-10 18:13:08.543331,失败,[],[64573]
8,2019-12-10 18:13:51.495510,失败,[],[64573]
9,2019-12-10 18:14:33.749960,失败,[],[64573]
10,2019-12-10 18:15:18.612615,失败,[],[64573]
11,2019-12-10 18:16:59.517519,失败,[],[64573]
12,2019-12-10 18:19:13.883251,失败,[],[64573]
13,2019-12-10 18:21:48.185226,失败,[],[64573]
14,2019-12-10 18:23:09.406999,失败,[],[64573]
15,2019-12-10 18:24:04.483849,失败,[],[64573]
16,2019-12-10 18:25:44.687580,失败,[],[64573]
17,2019-12-10 18:26:47.411603,失败,[],[64573]
